ciphertext,algorithm
2b1dc0689da000ba7e4ebc882c9c7f4720c85ba1458b067d820f1e6bf21d79b0c1dc02eb8b539fc20b64940f224129ba9864d83783958722baa975bf9132697f,RC4
3660215c7fcd1c4f8314fbaaf32c4d12e01898464583c005c083b67c71b19e3bcaf3bb10b00c8287f5d4173a52521d4cd6d0e22ce19d4f97fa33b2e2518ad83ac0565b84016e1077,DES
896c6336ccdb4ea88e6119804f7126247a3b28f925a6188a0883659ded170507a3ebcceb15ce5ea25cb3c97fc207952b29f7c5aacdeccf78e223357b13d1a142da39f509231d37ea,3DES
793336336177716a66666371356870366d64357378653878646f767a746372656b6d3665787365643362726534616d3165686e3533646e633167377566716c6e,AFFINE
f410c153a2ec49f77dbaf1a2e54841a9fbea600ee983033e039c6b6409c461d3051898f5d933ad6788f8bcd21ef6dd42e42e1adcfece974c49e2d3c0beba6082c6f65c59c7c9bc479d2d45ce748eac0f,AES
6a36617533646b3467796377616a6c61697678727a61716d7774637967366b6c336b617769357030636f77306973633272346b7a64796f38396e627a7a37616e,AFFINE
7b47c69ed6495373cb841b4982d96a022c91ef3001aa08353d83cfdf300ec3a28d58a21a6e601debfa1910b8a7ba2ea8be236a5a29c8079c29dc4761aaebb9ad7ffa332623ab4336,3DES
0cc2573bac65a8cb1b1eac95e30b38ca7a5b8332e877e7f7ddfe48ee3dba9bf5ab114241f0202289a31049501b899310655abd354e6b8de42f1bcbef9b82186f,RC4
ac5b6456d6cfa52cb9e4cfa320c140b03817a2bd67a2c7af595c85d7e76dd832256aa2008b99baaf5a812247c0c3405d1ab9063c51027f27928617e5e5cdb839,RC4
6c72736d6f747665617178746e65356975377768737962616666716e726c73686476716b616d677262773575747272647a7774383067756c6a786278787a6e79,AFFINE
9820edaf7e28266685ce69be81b591a088208e3f398080cff7b042df016ef14b504fd5631e4fc0e56857b852becd6a45909bbf4e1197663567f25defa199cb4a739310c7c335031a,DES
6ab2b3617db052837c5c789c3cc735edbd0f9f84c3ca099d3cac0d49caf41c802790e2c46526276c9a250f87c5ad00cc6a8eadb289a5280b36184982f1c092d7c20c7a659d6c22fe,DES
17a24d7a468e4d4d2b83408fa24ef3727f194c3fde361984d2d853b34bdafe83c79c333a32b186f1c1a02a2393e3ea7f464f9f0be3a55f943e69bcf507af3434,RC4
661a0a406fae4324fe3addf295753bbb62528caf5462c4c6cf546f65ba9c39a9a945556ace349a4755ce1f92690282e12f61d4a39c0620af6658757c506a2cba,RC4
39d398aff17c1d13b035eb59bf85c1800676f8bc77bcb1f9565056256f321eb1870de9db829796deb3a0db57b1e464fbeb96522ce8ca4a7843663cd652490439af95763ffdfa0326,DES
74746537637a61617373786c663962686f667571656e626d737562306f6a7568646437776f3075626265716e726d696a64797432387331726b71647337386a74,AFFINE
767a796376627978676e6a3466656973756c6e6769736d71636d6d6d34667675797474716b38333768766c37766f6e79666435767435757a6177657a7638646c,AFFINE
6d6d71386336316962616c6d6c736a6271746e7575796e663675686b66686e78776d3269357067787238656f616d34796b726e7264776a35306b347367677764,AFFINE
4bf69960331a251f5e17e6a2489b2eb3299eea48b346199337e44611a2de8b9eed2179f495dc0ede65ac6fd0a211e74b6a1010cdd0c1696933b102f82b3b99a9b38f9a24f48d4400,3DES
4a7642c977a7bc28bf05c40d71794ad8eca07c84149a6450bd8ca76f41cf8458e57bb16b8159829b5d47b6d23018332b32ded29170ff0644571bd038215c203c,RC4
6b68327a7a6c64656267347433777a6b6a6e6873706b656974667164686a6d78636c337671706a736f6b783930656e683433757868646c75796a7078357a6c68,AFFINE
3f01befd65ac616714e32ff993cd5c317336a533c13fa255cb61148068238b0e409090f16cd551dd7d09e4dbfb8d44e8c2b135e3f031ea6d2905885409e2e538ff0fbf91ba0df52d,DES
a9159da0f4b8fd503273ad301ac1a14146a6e99ddd2a4d9de7103a75a1ed715b2b703f97dfc2c10bce43d99e92fb452bc9854b745390067dba9a21c44e54f6e8,RC4
6d797265726e3967786d33796d397971677a30736f6f696c6c6f796b6969676f7377766a6a69796d77396c646e346578766e306c6e3865756d346b76666a6b75,AFFINE
fa4ed5f15f971f13503561bae8f1c772a34c5e2cec7b01c493892ec4785ceebaed52008c534d81826bb6e2f65870278fd54680f9a121c43c021e0da123df4363a3669f06c12fe470bd4d889af380a161,AES
b6f26cac23e2c16a892b21b670199016d26e1c850ea489f939a494545ce436aa07701653988b79c74019c6f70db153bde5d140ab73624af5420e8158c4fba40894a97d3c2d788139,DES
d7c830923984d625c5ab474179aac81d4ccaf1987eb7183882ed4c3e4e679e741d39dd5cad4d29889a3f0c6dd8de2f5db3e5f558f3403a968a3909c3ccad0adfd679b971f1cdd731498e54b8a1f2e21a,AES
73baf3e9df071f36080968634be0c6e5e5ea398e97ecc3675f29d4ab23fa6879bd0f1a551027c49406514664131fe2d4dc6b2d649607dca93043523d8f0249c1bad45017dd8f143ec52cca13d7134156,AES
c966806767a263c7ff9180276865df2f0debf588961ad3a604cb3c1c4f7ec8517783d6b247d437600c5763e4bca3bea77a556c2cf01e6f136e9e8e3aca1368855811e5bea1dc218e,3DES
0a55e71b17e08394308841961bfe45b0d89aca0a89ec1c1226a65ede9f73cc5c2a39a15e71ee64b7ba9aa90e3e2210377c02b79c33ecf0c5cb5428eb05621d704eeb14122e22e67f,3DES
99e921393d1ac5e6d5b6c14c87f41e6cbbf46b929546eb993bfcfa83d423aa9735693cb11a855947f544726dc566c58610e99c8a8872c48997322ab9fabd0d2c,RC4
c465118091fb59c3eb4d8ed41a20e4b5afe7e32fd3d0c901c1062e623178a27945c2fa39f91f1a0eb1bb3f6f037abe57db4dcd36e564f3cb2073f27def6665736b06251dd3a8f20acca3d039d05c5718,AES
c939cde543d62088dbcafd8779f81d28e9bd39f16cf496d4189054abf2fe0b1de75ad8b4d9c21f5f11606ddc6e9b961969193991585f873a1ba46ccac71553435a0362391de6239f,DES
6e746a61796a6d3436747838366266756a6376616f34646e347137616b7978647068687279376e7363366f756d777a743668656a626c3332326d6f79736c6365,AFFINE
7668686b71627679767368746368613478656c67707277656b796e3770747365697837677769716e71786b38377174686d69356d6677737866367a7a72367637,AFFINE
145cc4846dea21cc961d3e9a51c0a703c2060e4bb3a5e66553caf0220a3932f55ca35bd1173e8e2f8eb280a6d1970de212a3890abe0285ca76f2aaf6eab20200,RC4
ce3d9a2b95176f7706feff0e3e20ed4e28328372800b9a4b4e0924b1974da3c4d3fb7afe1c8d621fd359475c35825ecd04c2c33ba33d3e35dd4b795ee8289fe49a5373132988eb7e,DES
636b6d7268673531687a626332656437656275616f3479677877713034697531756d39396d6333337337626f687966677a316568326c7939776d61376c786f6b,AFFINE
cda40e459e4bb5b124aa64b57f6ac4ad5a0f2caa0407963aae30c835dd671b76d08db242c28acfcf1d9f13313f9dbc1b2a191888bdbd613459a1f3e3965e4aa5002cd721cd5f4615931e8b09cb8899dc,AES
646d64636c30736e717936683264646967796a626961686866706477767575726562756b7578677a6a73616c7664616f3866367069766430343463696c33787a,AFFINE
fe45a31b9c8df06e45133bf05354a3246cd67038c380164eac981b3eaa941ef7dfcb30dd2b7058bd83f57cd01e704f73b095f41f34c7b06cb4bb93fd83a0e45e802ceb74244887e0,DES
a2f34af85fa5203770a61c5bb853c7917dfae0abb69df0e9bc8bbad8dea6335d5f2aff1495bc5dce52a32fae9c3390067740377c514a394b8405fe4c86718fce,RC4
7ef790b55191e66b36238c78a3eb7a1412b9081ca22ae367c75a626bbcd926b56c2e5249f24c0fc4ee456f3a807d1dbc9264c0fe460d85a8d0df8c7a4a573f6de1cc7d12c94a2841,3DES
6514ea9f8e81155d744fb67af8b901b0b6f656130ca23cd892b5cf94aa4316d189db0b70076ceef3650a4e43072189d24f745c969620e1316a7000aaae8f3429,RC4
79706c6366667474646d6962386b31696e7964696e69706c766b663730786c646f78757070677976616f61376c7569656a736b6834747a78656778746477396c,AFFINE
